left_anchor,right_anchor,category
Deeply Introverted,Deeply Extroverted,Universal
Completely Spontaneous,Meticulous Planner,Universal
High Mess Tolerance,Extremely Tidy and Neat,Universal
Goes With the Flow,Has Strong Opinions,Universal
Blunt and Direct,Diplomatically Tactful,Universal
Emotionally Reserved,Wears Heart on Sleeve,Universal
Shares Everything Freely,Extremely Private,Universal
Deeply Sentimental,Unsentimental Pragmatist,Universal
Trusts People Immediately,Very Slow to Trust,Universal
Dry and Deadpan Humor,Loud and Silly Humor,Universal
Needs Complete Silence,Thrives in Noise and Chaos,Universal
Deeply Nostalgic,Purely Forward-Looking,Universal
No Competitive Drive,Fiercely Competitive,Universal
Follows Norms Gladly,Breaks Rules Instinctively,Universal
Very Casual and Informal,Very Proper and Formal,Universal
Always 30+ Minutes Early,Consistently 30+ Minutes Late,Universal
Low Emotional Awareness,Extremely Emotionally Intelligent,Universal
Saves Everything,Spends Freely,Finances
Spends on Experiences,Spends on Possessions,Finances
Fiscally Ultra-Conservative,Loves Financial Risk,Finances
Prenup Is Non-Negotiable,Prenups Signal Distrust,Finances
Everything in Joint Accounts,Completely Separate Money Always,Finances
Over-Tips Generously Always,Tips Minimally or Not at All,Finances
Grew Up Financially Struggling,Grew Up Extremely Wealthy,Finances
Cares About Parental Approval,Doesn't Care What Parents Think,Family
Very Close With Family,Estranged From Family,Family
Family Above Everything,Career Above Family,Family
Wants Close In-Laws,Prefers Distance From In-Laws,Family
Strict Family Holidays Only,Flexible About Holiday Plans,Family
Strongly Against Surname Change,Expects or Wants Surname Change,Family
No Opposite-Gender Friends,Most Friends Opposite Gender,Friendship
Prefers Deep One-on-One,Prefers Big Group Dynamics,Friendship
Has Blocked Every Ex,Stays Friends With Exes,Friendship
Friends Come First,Partner Always Comes First,Friendship
Introduces Partner Immediately,Waits Months to Introduce,Friendship
Deeply Religious,Completely Non-Religious,Beliefs
Very Spiritual,Purely Rational and Scientific,Beliefs
Thinks Astrology is Nonsense,Follows Astrology Devoutly,Beliefs
Completely Monogamy-Only,Open to Non-Monogamy,Beliefs
Completely Apolitical,Deeply Politically Active,Beliefs
Believes in Fate and Destiny,Life Is What You Make It,Beliefs
Values Tradition Above All,Progress Always Trumps Tradition,Beliefs
Waits Long to Say I Love You,Says I Love You Very Quickly,Beliefs
People Never Really Change,People Can Always Transform,Beliefs
Very Conservative,Very Liberal,Beliefs
Purely Paycheck-Motivated,Obsessed With Career and Craft,Work
Deeply Settled in Career,Could Pivot Careers Anytime,Work
Needs Stable Predictable Job,Thrives on Financial Volatility,Work
Work Ends When Day Ends,Always Running Side Projects,Work
Job Must Be in Current City,Would Relocate Anywhere for Career,Work
Never Drinks Alcohol,Drinks Socially Most Nights,Lifestyle
Strictly Plant-Based Diet,Meat With Every Meal,Lifestyle
Only Travels Domestically,Only Wants to Travel Abroad,Lifestyle
City Person Through and Through,Countryside and Rural Only,Lifestyle
Completely at Peace With Looks,Never Satisfied With Appearance,Lifestyle
Rarely Watches TV or Streams,Always Has Something On,Lifestyle
Cooks Almost Every Meal,Orders Delivery Daily,Lifestyle
No Substances Ever,Recreational Use Is Normal,Lifestyle
Fitness Is a Religion,Hasn't Exercised in Years,Lifestyle
Generic Brands Are Fine,Only Buys Premium Brands,Lifestyle
Early Sleeper + Riser,Night Owl + Late Riser,Lifestyle
No Fashion Sense,Impeccable Style Always,Lifestyle
Never Affectionate in Public,Constantly Affectionate in Public,Intimacy and Physical
Very Low Touch Needs,Needs Near-Constant Physical Contact,Intimacy and Physical
Needs Full Bed to Self,Loves Sleeping Tangled Together,Intimacy and Physical
Talks Through Conflicts Immediately,Needs Days to Process Conflicts,Communication Style
Very Slow Deliberate Speaker,Talks at Lightning Speed,Communication Style
Fine Going Days Without Talking,Needs Daily Check-Ins,Communication Style
Apologizes Sparingly and Rarely,Apologizes Very Freely,Communication Style
Initiates Hard Talks Immediately,Avoids Hard Talks Until Forced,Communication Style
Solution-Focused Listener,Empathetic Validating Listener,Communication Style
Posts Every Moment Online,Never Posts Online,Social Life
Curates a Perfect Online Persona,Extremely Raw and Unfiltered Online,Social Life
Soft Launches Partner,Hard Launches Partner Immediately,Social Life
Skips Most Social Events,Never Misses an Event,Social Life
Prefers Just the Two of Them,Always Wants Others Around,Social Life
Loves Hosting at Home,Prefers Going Out Never Hosts,Social Life
Vacation Means Total Relaxation,Vacation Means Packed Itinerary,Social Life
Never Likes Thirst Traps,Likes Every Thirst Trap,Social Life
Completely Indifferent to Status,Highly Status-Conscious,Ambition
Wants an Ambitious Partner,Prefers a Laid-Back Partner,Ambition
Doesn't Compete With Partner,Sees Partner as a Rival,Ambition
Highly Independent,Prefers Doing Most Things Together,Relationship Dynamics
Prefers to Lead,Prefers to Follow,Relationship Dynamics
Prefers to Be Pursued,Loves Being the Pursuer,Relationship Dynamics
Maintains Distinct Individual Identity,Fully Merges Into Couple Identity,Relationship Dynamics
Not Jealous at All,Very Easily Jealous,Relationship Dynamics
Doesn't Need Frequent Reassurance,Needs Constant Reassurance,Relationship Dynamics
Very Inexperienced in Dating,Very Experienced in Dating,Relationship Dynamics
Lets Everything Slide,Remembers Every Wrong Forever,Relationship Dynamics
Brutally Honest About Your Outfit,White Lies About Your Outfit,Relationship Dynamics
Argues Loud and Explosive,Goes Completely Silent When Upset,Relationship Dynamics
Needs Passwords to Everything,Passwords Are Sacred Privacy,Relationship Dynamics
Tracks Partner's Every Move,Doesn't Care What Partner is Up To,Relationship Dynamics
Becomes Best Friends With Partner's Friends,Keeps Distance From Partner's Friends,Relationship Dynamics
Threatened By Partner's Success,Celebrates Partner's Wins Fully,Relationship Dynamics
Wants a Tiny Private Wedding,Dreams of a Huge Celebration,Expectations
Wants to Move In Very Soon,Prefers Living Apart Longer,Expectations
Wants to Marry Quickly,No Rush on Marriage at All,Expectations
Expects Partner to Plan Everything,Loves Planning Everything Themselves,Expectations
Rarely Does Romantic Gestures,Grand Romantic Gestures Always,Expectations
Doesn't Give or Expect Gifts,Gifts Are a Core Love Language,Expectations
Doesn't Track Anniversaries,Every Anniversary Must Be Celebrated,Expectations
Would Never Do Long Distance,Fine With Long Distance Indefinitely,Expectations
